,postcode,ruralurban,residents,males,females,household,cmmunal,students,area,densitypersons
0,AL1  1,Total,5453.0,2715.0,2738.0,5408.0,45.0,75.0,225.63,24.2
1,AL1  2,Total,6523.0,3183.0,3340.0,6418.0,105.0,77.0,286.59,22.8
2,AL1  3,Total,4179.0,2121.0,2058.0,4100.0,79.0,46.0,97.12,43.0
3,AL1  4,Total,9799.0,4845.0,4954.0,9765.0,34.0,285.0,244.75,40.0
4,AL1  5,Total,10226.0,5129.0,5097.0,10211.0,15.0,133.0,200.93,50.9
5,AL10 0,Total,9935.0,5039.0,4896.0,9855.0,80.0,60.0,243.62,40.8
6,AL10 8,Total,10998.0,5648.0,5350.0,10833.0,165.0,122.0,216.76,50.7
7,AL10 9,Total,14967.0,7640.0,7327.0,12219.0,2748.0,185.0,1563.16,9.6
8,AL2  1,Total,9507.0,4661.0,4846.0,9440.0,67.0,107.0,512.98,18.5
9,AL2  2,Total,6130.0,3058.0,3072.0,6034.0,96.0,76.0,937.54,6.5
10,AL2  3,Total,7967.0,3877.0,4090.0,7863.0,104.0,168.0,2284.36,3.5
11,AL3  4,Total,5565.0,2763.0,2802.0,5500.0,65.0,131.0,302.42,18.4
12,AL3  5,Total,8831.0,4200.0,4631.0,8604.0,227.0,173.0,228.02,38.7
13,AL3  6,Total,4281.0,2070.0,2211.0,4271.0,10.0,81.0,1400.81,3.1
14,AL3  7,Total,5344.0,2582.0,2762.0,5284.0,60.0,85.0,1908.57,2.8
15,AL3  8,Total,4441.0,2215.0,2226.0,4402.0,39.0,74.0,2963.95,1.5
16,AL4  0,Total,9308.0,4717.0,4591.0,9215.0,93.0,168.0,1199.86,7.8
17,AL4  8,Total,6509.0,3108.0,3401.0,6504.0,5.0,178.0,2581.33,2.5
18,AL4  9,Total,11451.0,5563.0,5888.0,11383.0,68.0,255.0,1518.78,7.5
19,AL5  1,Total,6090.0,3016.0,3074.0,6074.0,16.0,187.0,245.11,24.8
20,AL5  2,Total,4676.0,2270.0,2406.0,4622.0,54.0,248.0,445.18,10.5
21,AL5  3,Total,4659.0,2272.0,2387.0,4631.0,28.0,174.0,1068.25,4.4
22,AL5  4,Total,6450.0,3121.0,3329.0,6101.0,349.0,163.0,286.23,22.5
23,AL5  5,Total,8365.0,4094.0,4271.0,8279.0,86.0,180.0,265.47,31.5
24,AL6  0,Total,6434.0,3155.0,3279.0,6416.0,18.0,204.0,1560.36,4.1
25,AL6  9,Total,4788.0,2340.0,2448.0,4688.0,100.0,113.0,1750.96,2.7
26,AL7  1,Total,5761.0,2789.0,2972.0,5761.0,0.0,64.0,260.12,22.1
27,AL7  2,Total,7395.0,3715.0,3680.0,7342.0,53.0,102.0,229.93,32.2
28,AL7  3,Total,10114.0,4842.0,5272.0,10008.0,106.0,67.0,244.47,41.4
29,AL7  4,Total,10620.0,5156.0,5464.0,10563.0,57.0,122.0,328.64,32.3
30,AL8  6,Total,5869.0,2750.0,3119.0,5869.0,0.0,106.0,262.73,22.3
31,AL8  7,Total,7383.0,3495.0,3888.0,7316.0,67.0,131.0,601.94,12.3
32,AL9  5,Total,2085.0,1014.0,1071.0,2054.0,31.0,26.0,1347.81,1.5
33,AL9  6,Total,1427.0,610.0,817.0,1217.0,210.0,46.0,1811.33,0.8
34,AL9  7,Total,6897.0,3328.0,3569.0,6803.0,94.0,162.0,1419.24,4.9
35,B1   1,Total,4099.0,2340.0,1759.0,3402.0,697.0,46.0,32.78,125.0
36,B1   2,Total,2897.0,1584.0,1313.0,2693.0,204.0,19.0,49.12,59.0
37,B1   3,Total,993.0,581.0,412.0,993.0,0.0,3.0,19.54,50.8
38,B10  0,Total,8206.0,4236.0,3970.0,8187.0,19.0,39.0,143.13,57.3
39,B10  9,Total,17702.0,8800.0,8902.0,17691.0,11.0,99.0,163.87,108.0
40,B11  1,Total,11688.0,5989.0,5699.0,11625.0,63.0,70.0,157.8,74.1
41,B11  2,Total,3479.0,1748.0,1731.0,3469.0,10.0,16.0,138.39,25.1
42,B11  3,Total,17242.0,8608.0,8634.0,17226.0,16.0,119.0,225.79,76.4
43,B11  4,Total,12295.0,6210.0,6085.0,12263.0,32.0,107.0,106.67,115.3
44,B12  0,Total,4129.0,2227.0,1902.0,4072.0,57.0,12.0,103.7,39.8
45,B12  8,Total,8748.0,4443.0,4305.0,8696.0,52.0,75.0,101.9,85.8
46,B12  9,Total,7878.0,3975.0,3903.0,7771.0,107.0,77.0,97.28,81.0
47,B13  0,Total,13458.0,6465.0,6993.0,13406.0,52.0,134.0,352.53,38.2
48,B13  8,Total,7678.0,4079.0,3599.0,7527.0,151.0,98.0,286.34,26.8
49,B13  9,Total,15681.0,7957.0,7724.0,15390.0,291.0,186.0,276.45,56.7
50,B14  4,Total,12710.0,6206.0,6504.0,12597.0,113.0,65.0,279.02,45.6
51,B14  5,Total,10926.0,5301.0,5625.0,10827.0,99.0,41.0,234.65,46.6
52,B14  6,Total,12143.0,5853.0,6290.0,12080.0,63.0,143.0,264.43,45.9
53,B14  7,Total,7634.0,3740.0,3894.0,7587.0,47.0,112.0,131.46,58.1
54,B15  1,Total,2582.0,1448.0,1134.0,1966.0,616.0,38.0,55.0,46.9
55,B15  2,Total,9675.0,4794.0,4881.0,7003.0,2672.0,147.0,296.24,32.7
56,B15  3,Total,5964.0,2877.0,3087.0,4548.0,1416.0,141.0,282.8,21.1
57,B16  0,Total,10022.0,5104.0,4918.0,9992.0,30.0,74.0,187.13,53.6
58,B16  8,Total,6754.0,3619.0,3135.0,6720.0,34.0,38.0,88.92,76.0
59,B16  9,Total,6994.0,3728.0,3266.0,6868.0,126.0,63.0,114.05,61.3
60,B17  0,Total,8835.0,4285.0,4550.0,8758.0,77.0,98.0,217.4,40.6
61,B17  8,Total,9118.0,4683.0,4435.0,8851.0,267.0,177.0,243.24,37.5
62,B17  9,Total,7610.0,3596.0,4014.0,7553.0,57.0,129.0,158.8,47.9
63,B18  4,Total,6676.0,3579.0,3097.0,5773.0,903.0,37.0,89.76,74.4
64,B18  5,Total,5132.0,2569.0,2563.0,5059.0,73.0,28.0,122.63,41.8
65,B18  6,Total,1890.0,1017.0,873.0,1889.0,1.0,19.0,58.72,32.2
66,B18  7,Total,2585.0,1222.0,1363.0,2585.0,0.0,14.0,51.43,50.3
67,B19  1,Total,8818.0,4467.0,4351.0,8720.0,98.0,48.0,83.89,105.1
68,B19  2,Total,7537.0,3711.0,3826.0,7520.0,17.0,63.0,108.95,69.2
69,B19  3,Total,3713.0,1935.0,1778.0,3098.0,615.0,21.0,90.85,40.9
70,B2   4,Total,451.0,264.0,187.0,450.0,1.0,2.0,21.63,20.9
71,B2   5,Total,165.0,89.0,76.0,165.0,0.0,1.0,1.67,98.8
72,B20  1,Total,8296.0,4057.0,4239.0,7994.0,302.0,131.0,311.62,26.6
73,B20  2,Total,10818.0,5389.0,5429.0,10566.0,252.0,145.0,241.22,44.8
74,B20  3,Total,14975.0,7744.0,7231.0,14918.0,57.0,131.0,171.83,87.2
75,B21  0,Total,10012.0,5046.0,4966.0,9998.0,14.0,95.0,149.35,67.0
76,B21  8,Total,9576.0,4699.0,4877.0,9573.0,3.0,68.0,195.48,49.0
77,B21  9,Total,10738.0,5538.0,5200.0,10718.0,20.0,73.0,111.13,96.6
78,B23  5,Total,15189.0,7232.0,7957.0,15041.0,148.0,96.0,284.4,53.4
79,B23  6,Total,11113.0,5531.0,5582.0,10982.0,131.0,72.0,193.49,57.4
80,B23  7,Total,16568.0,8081.0,8487.0,16465.0,103.0,109.0,327.27,50.6
81,B24  0,Total,10567.0,5162.0,5405.0,10410.0,157.0,87.0,268.27,39.4
82,B24  8,Total,8028.0,3945.0,4083.0,7849.0,179.0,54.0,194.15,41.3
83,B24  9,Total,10275.0,5046.0,5229.0,10168.0,107.0,73.0,379.19,27.1
84,B25  8,Total,16005.0,7774.0,8231.0,15963.0,42.0,78.0,353.14,45.3
85,B26  1,Total,10895.0,5405.0,5490.0,10895.0,0.0,85.0,188.53,57.8
86,B26  2,Total,11456.0,5601.0,5855.0,11411.0,45.0,73.0,210.01,54.5
87,B26  3,Total,10475.0,5211.0,5264.0,10461.0,14.0,62.0,293.89,35.6
88,B27  6,Total,9604.0,4824.0,4780.0,9363.0,241.0,81.0,169.9,56.5
89,B27  7,Total,15230.0,7391.0,7839.0,15061.0,169.0,89.0,256.42,59.4
90,B28  0,Total,14567.0,7154.0,7413.0,14507.0,60.0,199.0,316.0,46.1
91,B28  8,Total,7734.0,3771.0,3963.0,7721.0,13.0,109.0,140.89,54.9
92,B28  9,Total,7735.0,3800.0,3935.0,7733.0,2.0,74.0,127.52,60.7
93,B29  4,Total,6122.0,2966.0,3156.0,6073.0,49.0,57.0,163.31,37.5
94,B29  5,Total,10203.0,4836.0,5367.0,10188.0,15.0,78.0,195.1,52.3
95,B29  6,Total,13598.0,6381.0,7217.0,12439.0,1159.0,133.0,248.19,54.8
96,B29  7,Total,12101.0,5968.0,6133.0,11653.0,448.0,153.0,190.75,63.4
97,B3   1,Total,2441.0,1425.0,1016.0,2441.0,0.0,4.0,33.61,72.6
98,B3   2,Total,133.0,78.0,55.0,133.0,0.0,0.0,29.12,4.6
99,B30  1,Total,10109.0,4712.0,5397.0,9914.0,195.0,139.0,270.9,37.3
100,B30  2,Total,11521.0,5616.0,5905.0,11296.0,225.0,111.0,297.06,38.8
101,B30  3,Total,7454.0,3615.0,3839.0,7246.0,208.0,53.0,205.5,36.3
102,B31  1,Total,11388.0,5374.0,6014.0,11370.0,18.0,62.0,310.17,36.7
103,B31  2,Total,12076.0,5887.0,6189.0,11987.0,89.0,111.0,309.64,39.0
104,B31  3,Total,11150.0,5449.0,5701.0,11123.0,27.0,68.0,217.12,51.4
105,B31  4,Total,9928.0,4799.0,5129.0,9918.0,10.0,48.0,187.21,53.0
106,B31  5,Total,9760.0,4735.0,5025.0,9648.0,112.0,63.0,329.8,29.6
107,B32  1,Total,9377.0,4486.0,4891.0,9369.0,8.0,74.0,230.81,40.6
108,B32  2,Total,12079.0,5692.0,6387.0,12015.0,64.0,102.0,222.36,54.3
109,B32  3,Total,11942.0,5643.0,6299.0,11690.0,252.0,69.0,393.18,30.4
110,B32  4,Total,5120.0,2409.0,2711.0,5112.0,8.0,22.0,741.5,6.9
111,B33  0,Total,10462.0,4979.0,5483.0,10377.0,85.0,32.0,331.53,31.6
112,B33  8,Total,11937.0,5834.0,6103.0,11705.0,232.0,69.0,211.18,56.5
113,B33  9,Total,12114.0,5754.0,6360.0,12109.0,5.0,51.0,272.1,44.5
114,B34  6,Total,11167.0,5321.0,5846.0,11026.0,141.0,60.0,257.14,43.4
115,B34  7,Total,8160.0,3809.0,4351.0,8157.0,3.0,36.0,209.61,38.9
116,B35  6,Total,4240.0,2016.0,2224.0,4240.0,0.0,10.0,85.25,49.7
117,B35  7,Total,5731.0,2566.0,3165.0,5586.0,145.0,36.0,223.21,25.7
118,B36  0,Total,12698.0,6128.0,6570.0,12628.0,70.0,70.0,266.38,47.7
119,B36  8,Total,12779.0,6113.0,6666.0,12744.0,35.0,83.0,244.17,52.3
120,B36  9,Total,9274.0,4469.0,4805.0,9261.0,13.0,78.0,254.14,36.5
121,B37  5,Total,9965.0,4776.0,5189.0,9909.0,56.0,37.0,216.39,46.1
122,B37  6,Total,11857.0,5766.0,6091.0,11805.0,52.0,67.0,274.93,43.1
123,B37  7,Total,13906.0,6765.0,7141.0,13723.0,183.0,72.0,692.82,20.1
124,B38  0,Total,2084.0,985.0,1099.0,1864.0,220.0,28.0,631.24,3.3
125,B38  8,Total,9201.0,4476.0,4725.0,9085.0,116.0,82.0,263.56,34.9
126,B38  9,Total,10069.0,4752.0,5317.0,10029.0,40.0,44.0,231.7,43.5
127,B4   6,Total,340.0,220.0,120.0,289.0,51.0,0.0,2.39,142.3
128,B4   7,Total,4343.0,2147.0,2196.0,946.0,3397.0,92.0,147.15,29.5
129,B42  1,Total,10974.0,5300.0,5674.0,10961.0,13.0,78.0,274.8,39.9
130,B42  2,Total,13393.0,6436.0,6957.0,12712.0,681.0,108.0,509.06,26.3
131,B43  5,Total,10947.0,5314.0,5633.0,10938.0,9.0,96.0,265.2,41.3
132,B43  6,Total,6541.0,3203.0,3338.0,6541.0,0.0,86.0,299.49,21.8
133,B43  7,Total,10953.0,5301.0,5652.0,10949.0,4.0,119.0,318.94,34.3
134,B44  0,Total,15427.0,7403.0,8024.0,15365.0,62.0,73.0,224.94,68.6
135,B44  8,Total,10020.0,4865.0,5155.0,9935.0,85.0,52.0,293.34,34.2
136,B44  9,Total,11644.0,5521.0,6123.0,11582.0,62.0,51.0,227.24,51.2
137,B45  0,Total,7143.0,3449.0,3694.0,7143.0,0.0,17.0,136.76,52.2
138,B45  8,Total,10605.0,5180.0,5425.0,10440.0,165.0,181.0,1356.69,7.8
139,B45  9,Total,12437.0,6095.0,6342.0,12374.0,63.0,113.0,654.88,19.0
140,B46  1,Total,7223.0,3523.0,3700.0,7181.0,42.0,73.0,970.86,7.4
141,B46  2,Total,2147.0,1103.0,1044.0,2137.0,10.0,36.0,3781.66,0.6
142,B46  3,Total,2702.0,1286.0,1416.0,2598.0,104.0,30.0,760.18,3.6
143,B47  5,Total,6596.0,3211.0,3385.0,6581.0,15.0,87.0,296.3,22.3
144,B47  6,Total,2759.0,1342.0,1417.0,2736.0,23.0,39.0,815.1,3.4
145,B48  7,Total,5796.0,2821.0,2975.0,5626.0,170.0,97.0,2697.92,2.1
146,B49  5,Total,4344.0,2146.0,2198.0,4320.0,24.0,95.0,4065.42,1.1
147,B49  6,Total,5845.0,2825.0,3020.0,5710.0,135.0,99.0,4184.9,1.4
148,B5   4,Total,2134.0,1236.0,898.0,2130.0,4.0,10.0,45.4,47.0
149,B5   5,Total,865.0,391.0,474.0,319.0,546.0,21.0,9.72,89.0
150,B5   6,Total,222.0,118.0,104.0,222.0,0.0,2.0,0.93,238.7
151,B5   7,Total,8762.0,4401.0,4361.0,7903.0,859.0,91.0,278.99,31.4
